Lang,Align,Filter,Size,Type,Score
ps,hunalign,laser,2,dev,6.79
ps,hunalign,laser,3,dev,8.26
ps,hunalign,laser,5,dev,8.71
ps,hunalign,laser,7,dev,8.62
ps,hunalign,laser,2,test,6.19
ps,hunalign,laser,3,test,7.53
ps,hunalign,laser,5,test,7.71
ps,hunalign,laser,7,test,7.86
ps,hunalign,sbert,2,dev,8.58
ps,hunalign,sbert,3,dev,9.46
ps,hunalign,sbert,5,dev,9.74
ps,hunalign,sbert,7,dev,9.24
ps,hunalign,sbert,2,test,7.96
ps,hunalign,sbert,3,test,8.73
ps,hunalign,sbert,5,test,9.05
ps,hunalign,sbert,7,test,8.44
ps,hunalign,roberta,2,dev,8.22
ps,hunalign,roberta,3,dev,9.18
ps,hunalign,roberta,5,dev,10.1
ps,hunalign,roberta,7,dev,9.04
ps,hunalign,roberta,2,test,7.48
ps,hunalign,roberta,3,test,8.7
ps,hunalign,roberta,5,test,9.26
ps,hunalign,roberta,7,test,8.33
ps,laser,laser,2,dev,6.75
ps,laser,laser,3,dev,8.48
ps,laser,laser,5,dev,7.57
ps,laser,laser,7,dev,8.79
ps,laser,laser,2,test,6.04
ps,laser,laser,3,test,7.73
ps,laser,laser,5,test,7.03
ps,laser,laser,7,test,7.99
ps,laser,sbert,2,dev,8.86
ps,laser,sbert,3,dev,9.64
ps,laser,sbert,5,dev,10.4
ps,laser,sbert,7,dev,9.32
ps,laser,sbert,2,test,8.41
ps,laser,sbert,3,test,9.17
ps,laser,sbert,5,test,9.82
ps,laser,sbert,7,test,8.76
ps,laser,roberta,2,dev,10.02
ps,laser,roberta,3,dev,10.8
ps,laser,roberta,5,dev,10.98
ps,laser,roberta,7,dev,9.76
ps,laser,roberta,2,test,9.35
ps,laser,roberta,3,test,10.18
ps,laser,roberta,5,test,10.38
ps,laser,roberta,7,test,8.7
ps,sbert,laser,2,dev,6.61
ps,sbert,laser,3,dev,8.3
ps,sbert,laser,5,dev,9.08
ps,sbert,laser,7,dev,9.6
ps,sbert,laser,2,test,6.13
ps,sbert,laser,3,test,7.72
ps,sbert,laser,5,test,8.66
ps,sbert,laser,7,test,8.44
ps,sbert,sbert,2,dev,8.92
ps,sbert,sbert,3,dev,10.06
ps,sbert,sbert,5,dev,11.08
ps,sbert,sbert,7,dev,10.78
ps,sbert,sbert,2,test,8.13
ps,sbert,sbert,3,test,9.08
ps,sbert,sbert,5,test,10.07
ps,sbert,sbert,7,test,9
ps,sbert,roberta,2,dev,9.58
ps,sbert,roberta,3,dev,10.27
ps,sbert,roberta,5,dev,10.92
ps,sbert,roberta,7,dev,10.43
ps,sbert,roberta,2,test,9.19
ps,sbert,roberta,3,test,10.02
ps,sbert,roberta,5,test,10.43
ps,sbert,roberta,7,test,9.61
km,hunalign,laser,2,dev,6.2
km,hunalign,laser,3,dev,7.5
km,hunalign,laser,5,dev,8.17
km,hunalign,laser,7,dev,8.54
km,hunalign,laser,2,test,5.6
km,hunalign,laser,3,test,6.7
km,hunalign,laser,5,test,7.59
km,hunalign,laser,7,test,8.37
km,hunalign,sbert,2,dev,8.09
km,hunalign,sbert,3,dev,8.71
km,hunalign,sbert,5,dev,8.92
km,hunalign,sbert,7,dev,8.22
km,hunalign,sbert,2,test,7.94
km,hunalign,sbert,3,test,8.27
km,hunalign,sbert,5,test,8.33
km,hunalign,sbert,7,test,8.02
km,hunalign,roberta,2,dev,8.71
km,hunalign,roberta,3,dev,9.51
km,hunalign,roberta,5,dev,10.1
km,hunalign,roberta,7,dev,10.35
km,hunalign,roberta,2,test,8.77
km,hunalign,roberta,3,test,9.25
km,hunalign,roberta,5,test,10.38
km,hunalign,roberta,7,test,10.03
km,laser,laser,2,dev,5.87
km,laser,laser,3,dev,7.45
km,laser,laser,5,dev,9.46
km,laser,laser,7,dev,9.84
km,laser,laser,2,test,5.29
km,laser,laser,3,test,6.91
km,laser,laser,5,test,9.05
km,laser,laser,7,test,9.33
km,laser,sbert,2,dev,8.98
km,laser,sbert,3,dev,9.66
km,laser,sbert,5,dev,10.26
km,laser,sbert,7,dev,10.86
km,laser,sbert,2,test,9.03
km,laser,sbert,3,test,9.44
km,laser,sbert,5,test,10.13
km,laser,sbert,7,test,10.79
km,laser,roberta,2,dev,9.43
km,laser,roberta,3,dev,10.14
km,laser,roberta,5,dev,11.1
km,laser,roberta,7,dev,11.22
km,laser,roberta,2,test,8.96
km,laser,roberta,3,test,9.86
km,laser,roberta,5,test,11.11
km,laser,roberta,7,test,11.68
km,sbert,laser,2,dev,5.39
km,sbert,laser,3,dev,7.68
km,sbert,laser,5,dev,8.98
km,sbert,laser,7,dev,9.72
km,sbert,laser,2,test,4.96
km,sbert,laser,3,test,7.02
km,sbert,laser,5,test,8.65
km,sbert,laser,7,test,9.14
km,sbert,sbert,2,dev,8.86
km,sbert,sbert,3,dev,9.28
km,sbert,sbert,5,dev,9.78
km,sbert,sbert,7,dev,10.38
km,sbert,sbert,2,test,9.22
km,sbert,sbert,3,test,9.45
km,sbert,sbert,5,test,10.18
km,sbert,sbert,7,test,10.12
km,sbert,roberta,2,dev,9.02
km,sbert,roberta,3,dev,9.68
km,sbert,roberta,5,dev,11
km,sbert,roberta,7,dev,11.17
km,sbert,roberta,2,test,8.85
km,sbert,roberta,3,test,10.15
km,sbert,roberta,5,test,11.13
km,sbert,roberta,7,test,11.83
